irn,DarYearCollected,DarHigherTaxon,DarCollector,DarCollector2,DarStateProvince,DarCounty,DarLocality,DarIdentifiedBy
14315560,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Pilumnidae",M.Rathbun,,Pernambuco,,Pernambuco?,"Rathbun, Mary Jane, Smithsonian Institution"
14139351,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Carpiliidae",M.Rathbun,,Pernambuco,,Pernambuco,"Rathbun, Mary Jane, Smithsonian Institution"
14494892,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Epialtidae",M.Rathbun,,Pernambuco,,Pernambuco,"Rathbun, Mary Jane, Smithsonian Institution"
14930773,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Mithracidae",M.Rathbun,,Pernambuco,,Rio Formoso,"Rathbun, Mary Jane, Smithsonian Institution"
14525235,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Ocypodidae",M.Rathbun,,Bahia,,Plataforma,"Rathbun, Mary Jane, Smithsonian Institution"
14598689,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Epialtidae",M.Rathbun,,Pernambuco,,Pernambuco,"Rathbun, Mary Jane, Smithsonian Institution"
14495510,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Ocypodidae",M.Rathbun,,Pernambuco,,Pernambuco,"Rathbun, Mary Jane, Smithsonian Institution"
14495509,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Ocypodidae",M.Rathbun,,Pernambuco,,Pernambuco?,"Rathbun, Mary Jane, Smithsonian Institution"
14495381,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Ocypodidae",M.Rathbun,,Pernambuco,,Pernambuco,"Rathbun, Mary Jane, Smithsonian Institution"
14714924,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Plagusiidae",M.Rathbun,,Pernambuco,,Pernambuco,"Rathbun, Mary Jane, Smithsonian Institution"
14804729,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Sesarmidae",M.Rathbun,,Bahia,,Plataforma,"Rathbun, Mary Jane, Smithsonian Institution"
13986319,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Panopeidae",M.Rathbun,,Pernambuco,,Pernambuco,"Rathbun, Mary Jane"
13983283,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Panopeidae",M.Rathbun,,Bahia,,Bonfim,"Rathbun, Mary J.; Benedict, James E."
13986273,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Panopeidae",M.Rathbun,,Pernambuco,,Pernambuco,"Benedict, James E.; Rathbun, Mary J."
13986276,1875,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Panopeidae",M.Rathbun,,Pernambuco,,Pernambuco?,"Benedict, James E.; Rathbun, Mary J."
