barcode,catalog_no,order,family,family_name,collector_name,year_collected,country,province_state,ezid
1160457,99194,Solanales,Hydrophyllaceae,Waterleaf family,C. D. Walcott,1900,United States,Colorado,http://n2t.net/ark:/65665/30a751787-3a18-4f16-87e4-5a8897e19819
3089925,80416,Apiales,Apiaceae,Umbellifers ,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3d8b58966-9a8b-4b3b-9ec4-7174f29be951
3088994,80403,Apiales,Apiaceae,Umbellifers,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3c0f352f5-2101-4057-92b1-6f807b109bcf
1805301,27505,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3db47f2f9-1144-47d3-bdae-e962d2768ea3
2180001,,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3cd015798-9922-4328-b5bb-6caad7fa8793
1695516,67945,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/39633027c-8cff-40f8-9b9d-44ca366c850e
903985,94672,Asterales,Campanulaceae,Bellflower family,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3095cf38f-2059-429a-958e-a400a6c20b1c
2332553,,Rosales,Fabaceae,legumes,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3c5e2c7b4-f46a-4750-9c9c-f7fc0f93703c
2033952,,Rosales,Fabaceae,legumes,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/33970c5f8-aeee-411f-92dd-611df0d264f4
1271837,102663,Myrtales,Onagraceae,Evening primroses,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/3fd6263a6-d8b2-4909-8c7a-c4ff3f20f4f1
95527,47980,Rosales,Rosaceae,Rose family,C. D. Walcott,1900,United States,New Mexico,http://n2t.net/ark:/65665/363015cd3-a643-4ff1-a8b0-dd46c9ece2b3
178076,3046523,Caryophyllales,Cactaceae,Cactus,C. D. Walcott,1905,Canada,Alberta,http://n2t.net/ark:/65665/360a320f8-e882-4925-8dff-188e6981862b
173042,1434394,Caryophyllales,Cactaceae,Cactus,C. D. Walcott,1905,United States,Arizona,http://n2t.net/ark:/65665/3406c42be-ab81-4e46-ae21-64bd64a7f229
2283849,1434402,Rosales,Fabaceae,legumes,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/304a5f23c-2950-43ab-a453-5362cef15bf1
2286389,1622315,Rosales,Fabaceae,legumes,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/303a7bb5f-59ee-4e95-99fe-ffacc1ea6c6a
1232353,1434397,Myrtales,Onagraceae,Evening primroses,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/31c62d193-813b-415e-9dd7-b01b535d7f15
3128388,1699658,Primulales,Primulaceae,Primroses,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/3cef913ed-d00d-4c24-9cef-59d8bbf92d41
3105900,1434405,Ericales,Pyrolaceae,Heather family,C. D. Walcott,1905,United States,California,http://n2t.net/ark:/65665/3a37c8e5d-3c09-4788-bba6-9db12b14c07b
3029721,1699659,Violales,Loasaceae,Loasa family,C. D. Walcott,1905,United States,Nevada,http://n2t.net/ark:/65665/38a99929a-16f2-4afe-aac9-83b5b04e0745
2744518,,Coniferales,Pinaceae,Pine family,C. D. Walcott,1905,United States,Nevada,http://n2t.net/ark:/65665/3d7d39d70-7f7e-4eb3-8e66-b91cbf51ee13
2744927,1434393,Coniferales,Pinaceae,Pine family,C. D. Walcott,1905,United States,Nevada,http://n2t.net/ark:/65665/351193915-9b1d-46f1-9931-99e54ecc9b57
3146473,1582093,Solanales,Convolvulaceae,Morning-glories,C. D. Walcott,1905,Canada,New Brunswick,http://n2t.net/ark:/65665/301d1f878-5b3b-426e-9d37-620a85101af6
1831171,48762,Asterales,Asteraceae,Daisy family ,C. D. Walcott,1905,United States,New Mexico,http://n2t.net/ark:/65665/3f709f71c-516c-495b-80d2-1f12c8194156
2285143,20579,Rosales,Fabaceae,legumes,C. D. Walcott,1905,United States,New Mexico,http://n2t.net/ark:/65665/345243316-4ffa-4343-b407-65e2eaa6f214
