researcher,job_title,year,rank,Lutterlough,Minor-Huff,Payne-Gaposchikin,Rathbun
Lutterlough,Elevator Operator,1943,1,Elevator Operator,,,
Lutterlough,Insect Preparator,1957,5,Insect Preparator,,,
Lutterlough,Research Assistant,1959,6,Research Assistant,,,
Lutterlough,Research Assistant,1983,6,Research Assistant,,,
Lutterlough,Entomologist,,13,Entomologist,,,
Minor-Huff,Biological Research Technician,1971,11,,Biological Research Technician,,
Minor-Huff,Biological Research Technician,1975,11,,Biological Research Technician,,
Payne-Gaposchikin,PhD Student,1923,10,,,PhD Student,
Payne-Gaposchikin,Assistant,1930,8,,,Assistant,
Payne-Gaposchikin,Adjunct Professor,1938,12,,,Adjunct Professor,
Payne-Gaposchikin,Astronomer,1938,14,,,Astronomer,
Payne-Gaposchikin,Full Professor,1956,15,,,Full Professor,
Payne-Gaposchikin,Chair of Department of Astronomy,1956,16,,,Chair of Department of Astronomy,
Payne-Gaposchikin,Chair of Department of Astronomy,1979,16,,,Chair of Department of Astronomy,
Rathbun,Volunteer,1881,0,,,,Volunteer
Rathbun,Copyist,1886,2,,,,Copyist
Rathbun,Clerk,1886,3,,,,Clerk
Rathbun,Aid,1894,4,,,,Aid
Rathbun,Second Assistant,1898,7,,,,Second Assistant
Rathbun,Full Assistant Curator,1907,9,,,,Full Assistant Curator
Rathbun,Full Assistant Curator,1915,9,,,,Full Assistant Curator
