SI_UNIT,DEPARTMENT,LAST_NAME,FIRST_NAME,SI_START_YEAR,SI_END_YEAR,GENDER,FREQUENCY,SI_UNIT_NO,GROUP_YEAR,TOTAL_COUNT
Castle,Botany,Walcott, Mary Vaux,1914,,woman,1,0,1910,4
MCI,,van der Reyden, Dianne L. ,1981,2002,woman,3,1,1980,13
MCI,Conservation,Grissom, Carol A.,1982,present,woman,3,1,1980,13
MCI,Conservation,Beaubien, Harriet (Rae) F. ,1989,2014,woman,3,1,1980,13
MCI,Deputy Director/Conservation,DePriest, Paula T.,1990,present,woman,1,1,1990,6
MCI,Conservation,Johnson, Jessica S.,2000,present,woman,1,1,2000,8
MCI,Conservation,Douglas, Janet,,,woman,,1,,
MCI,Conservation,Kaczkowski, Rebecca,,,woman,,1,,
MCI,Conservation,Kavich, Gwénaëlle ,,,woman,,1,,
MCI,Conservation,Little, Nicole,,,woman,,1,,
MCI,Conservation,Rogala, Dawn V.,,,woman,,1,,
MCI,Conservation,Solazzo, Caroline,,,woman,,1,,
MCI,Conservation,Tsang, Jia-sun ,,,woman,,1,,
MCI,Fossils,France, Christine A. M.,,,woman,,1,,
MCI,Photographs,Brogdon-Grantham, Shannon A,,,woman,,1,,
MCI,Stone,Charola, A. Elena,,,woman,,1,,
MCI,Textiles,Ballard, Mary,,,woman,,1,,
NMNH,Anthropology-Bureau Amer Ethnology,Stevenson, Matilda,1889,,woman,1,2,1880,1
NMNH,Invertebrate Zoology,Richardson Searle, Harriet,1896,1914,woman,1,2,1890,2
NMNH,Botany,Chase, Mary Agnes,1903,1963,woman,3,2,1900,7
NMNH,Anthropology-Bureau Amer Ethnology,Densmore, Francis,1907,1957,woman,3,2,1900,7
NMNH,Invertebrate Zoology,Rathbun, Mary Jane,1907,1915,woman,3,2,1900,7
NMNH,Invertebrate Zoology,Boone, Pearl Lee,1913,1922,woman,2,2,1910,4
NMNH,Vertebrate Zoology-mammals,Shantz, Viola Shelly,1918,1961,woman,2,2,1910,4
NMNH,Mineral Sciences/USGS,Gardner, Julia Anna,1920,1952,woman,3,2,1920,6
NMNH,Vertebrate Zoology-reptiles & amphibians,Cochran, Doris Mable,1927,1968,woman,3,2,1920,6
NMNH,Entomology,Blake, Doris Holmes,1928,1933,woman,3,2,1920,6
NMNH,Anthropology,St. Hoyme, Lucile,1942,1982,woman,6,2,1940,6
NMNH,Entomology,Lutterlough, Sophie,1943,1983,woman,6,2,1940,6
NMNH,Entomology,Parfin, Sophy,1944,1960,woman,6,2,1940,6
NMNH,Invertebrate Zoology,Wilson, Mildred Stratton,1944,1950,woman,6,2,1940,6
NMNH,Botany,Rudd, Velva E.,1948,1973,woman,6,2,1940,6
NMNH,Entomology,Glance, Grace,1948,1957,woman,6,2,1940,6
NMNH,Anthropology,Meggers, Betty,1954,2012,woman,1,2,1950,1
NMNH,Invertebrate Zoology,Pettibone, Marian,1963,1978,woman,2,2,1960,4
NMNH,Invertebrate Zoology-SMS,Rice, Mary E.,1966,2002,woman,2,2,1960,4
NMNH,Botany,Faust, Maria,1970,2010,woman,5,2,1970,9
NMNH,Anthropology,Rose, Carolyn L. ,1971,2002,woman,5,2,1970,9
NMNH,Botany,Simpson, Beryl,1972,1977,woman,5,2,1970,9
NMNH,Botany,Nowicke, Joan W.,1972,1999,woman,5,2,1970,9
NMNH,Entomology,Collins, Margaret James S.,1975,1996,woman,5,2,1970,9
NMNH,Botany,Funk, Vicki,1981,present,woman,7,2,1980,13
NMNH,Anthropology,Arnoldi, Mary Jo,1984,present,woman,7,2,1980,13
NMNH,Anthropology,Greene, Candace,1985,,woman,7,2,1980,13
NMNH,Anthropology,Archambault, JoAllyn,1986,present,woman,7,2,1980,13
NMNH,Anthropology,Piperno, Dolores,1988,present,woman,7,2,1980,13
NMNH,Molecular Systematics Laboratory,Blake, Judith A.,1989,1993,woman,7,2,1980,13
NMNH,Vertebrate Zoology-birds,Dove, Carla,1989,,woman,7,2,1980,13
NMNH,Botany,Zimmer, Elizabeth,1990,present,woman,4,2,1990,6
NMNH,Vertebrate Zoology-fish,Parenti, Lynne,1990,present,woman,4,2,1990,6
NMNH,Anthropology,Bruwelheide, Kari,1992,present,woman,4,2,1990,6
NMNH,Anthropology,Zeder, Melinda,1992,2018,woman,4,2,1990,6
