location,year,lat,long
Guyana,1977,4.634147,-58.891364
Guyana,1978,4.634147,-58.891364
Guyana,1979,4.634147,-58.891364
Guyana,1981,4.634147,-58.891364
Guyana,1983,4.634147,-58.891364
Panama,1983,8.109565,-81.126521
Surinam,1983,3.660817,-55.807041
Surinam,1983,3.660817,-55.807041
Texas,1984,32.33602,-99.220411
Guana Island,1986,18.473354,-64.568893
Guana Island,1988,18.473354,-64.568893
Belize,1988,17.034101,-88.807825
Cayman Island,1993,19.310504,-81.248176
Cayman Island,1993,19.310504,-81.248176
Cayman Island,1994,19.310504,-81.248176
Guyana,1994,4.634147,-58.891364
