,province_state,collector_name,family_name,frequency
3,Alberta,M. V. Walcott,Daisy family ,11
15,Alberta,M. V. Walcott,legumes,10
4,Alberta,M. V. Walcott,Gentians,6
5,Alberta,M. V. Walcott,Heather family,4
1,Alberta,M. V. Walcott,Borages ,3
14,Alberta,M. V. Walcott,Waterleaf family,3
8,Alberta,M. V. Walcott,Orchids,2
9,Alberta,M. V. Walcott,Pine family,2
10,Alberta,M. V. Walcott,Primroses,2
0,Alberta,C. D. Walcott,Cactus,1
2,Alberta,M. V. Walcott,Cactus,1
6,Alberta,M. V. Walcott,Honeysuckle family,1
7,Alberta,M. V. Walcott,Madder family,1
11,Alberta,M. V. Walcott,Sedges,1
12,Alberta,M. V. Walcott,Spleenworts,1
13,Alberta,M. V. Walcott,Violet family,1
22,Arizona,M. V. Walcott,Daisy family ,2
16,Arizona,C. D. Walcott,Cactus,1
17,Arizona,C. D. Walcott,Daisy family ,1
18,Arizona,C. D. Walcott,Pholox family,1
19,Arizona,C. D. Walcott,Umbellifers ,1
20,Arizona,C. D. Walcott,Vervain family,1
21,Arizona,C. D. Walcott,legumes,1
23,Arizona,M. V. Walcott,Evening primroses,1
24,Arizona,M. V. Walcott,Orchids,1
25,Arizona,M. V. Walcott,legumes,1
26,Arkansas,C. D. Walcott,legumes,1
32,British Columbia,M. V. Walcott,Daisy family ,33
36,British Columbia,M. V. Walcott,Heather family,14
41,British Columbia,M. V. Walcott,Orchids,7
50,British Columbia,M. V. Walcott,legumes,7
37,British Columbia,M. V. Walcott,Honeysuckle family,5
27,British Columbia,M. V. Walcott,Bellflower family,4
47,British Columbia,M. V. Walcott,Violet family,4
28,British Columbia,M. V. Walcott,Borages ,2
34,British Columbia,M. V. Walcott,Evening primroses,2
43,British Columbia,M. V. Walcott,Primroses,2
29,British Columbia,M. V. Walcott,Brake family,1
30,British Columbia,M. V. Walcott,Buckwheats,1
31,British Columbia,M. V. Walcott,Cystopteridaceae,1
33,British Columbia,M. V. Walcott,Dogwoods,1
35,British Columbia,M. V. Walcott,Gentians,1
38,British Columbia,M. V. Walcott,Lady fern,1
39,British Columbia,M. V. Walcott,Milkweeds,1
40,British Columbia,M. V. Walcott,Mints,1
42,British Columbia,M. V. Walcott,Pine family,1
44,British Columbia,M. V. Walcott,Santalaceae,1
45,British Columbia,M. V. Walcott,Sedges,1
46,British Columbia,M. V. Walcott,Spleenworts,1
48,British Columbia,M. V. Walcott,Waterleaf family,1
49,British Columbia,M. V. Walcott,Wood ferns,1
54,California,C. D. Walcott,Pine family,2
56,California,C. D. Walcott,legumes,2
51,California,C. D. Walcott,Evening primroses,1
52,California,C. D. Walcott,Heather family,1
53,California,C. D. Walcott,Pholox family,1
55,California,C. D. Walcott,Primroses,1
57,California,M. V. Walcott,Daisy family ,1
58,California,M. V. Walcott,Gentians,1
59,California,M. V. Walcott,Mallows,1
60,California,M. V. Walcott,Mints,1
61,California,M. V. Walcott,Orchids,1
62,California,M. V. Walcott,Yews,1
63,California,M. V. Walcott,legumes,1
64,Colima,M. V. Walcott,Evening primroses,1
65,Colorado,C. D. Walcott,Waterleaf family,1
66,Colorado,C. D. Walcott,legumes,1
67,Colorado,M. V. Walcott,Pholox family,1
68,Colorado,M. V. Walcott,legumes,1
69,District of Columbia,C. D. Walcott,Poppies,1
70,Guánica,M. V. Walcott,Ehretiaceae,1
72,Maryland,C. D. Walcott,Rose family,2
71,Maryland,C. D. Walcott,Lilies,1
74,Nevada,C. D. Walcott,Pine family,2
73,Nevada,C. D. Walcott,Loasa family,1
75,New Brunswick,C. D. Walcott,Morning-glories,1
77,New Mexico,C. D. Walcott,Daisy family ,4
82,New Mexico,C. D. Walcott,legumes,3
76,New Mexico,C. D. Walcott,Bellflower family,1
78,New Mexico,C. D. Walcott,Evening primroses,1
79,New Mexico,C. D. Walcott,Rose family,1
80,New Mexico,C. D. Walcott,Umbellifers,1
81,New Mexico,C. D. Walcott,Umbellifers ,1
83,New Mexico,M. V. Walcott,Cactus,1
84,Oklahoma,C. D. Walcott,legumes,1
85,Ontario,M. V. Walcott,Orchids,1
86,Saskatchewan,M. V. Walcott,Daisy family ,1
87,South Carolina,M. V. Walcott,Heather family,1
88,South Carolina,M. V. Walcott,Holly,1
89,South Carolina,M. V. Walcott,Maple family,1
90,South Carolina,M. V. Walcott,Pine family,1
92,Tennessee,C. D. Walcott,Heather family,2
91,Tennessee,C. D. Walcott,Acanthus Family,1
93,Tennessee,C. D. Walcott,Loganiaceae,1
94,Tennessee,C. D. Walcott,Mints,1
95,Tennessee,C. D. Walcott,Orchids,1
96,Tennessee,C. D. Walcott,Pine family,1
99,Utah,M. V. Walcott,Evening primroses,2
101,Utah,M. V. Walcott,Pine family,2
97,Utah,C. D. Walcott,Primroses,1
98,Utah,M. V. Walcott,Bellflower family,1
100,Utah,M. V. Walcott,Pholox family,1
